,Name,Sequence Accession,Complete Genome,Segment,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name,Unnamed: 12,coords0,coords1,coords2
0,HA,HM628693,No,4,1701,H3N2,2010-03-03,IRD:Human,Brazil,-N/A-,-N/A-,A/Acre/15093/2010(H3N2),,0.9189395308494568,-1.1746752262115479,0.8718519806861877
1,HA,HM628694,No,4,1701,H3N2,2010-04-04,IRD:Human,Brazil,-N/A-,-N/A-,A/Acre/26954/2010(H3N2),,1.2882003784179688,-1.2329576015472412,0.7989807724952698
2,HA,KT889256,Yes,4,1701,H3N2,2013-09-26,IRD:Human,Ethiopia,-N/A-,-N/A-,A/Addis Ababa/1514A07305892N/2013,,0.8316347002983093,-1.5631366968154907,2.3954148292541504
3,HA,KC882982,No,4,1701,H3N2,2011-01-05,IRD:Human,USA,Alabama,10-11,A/Alabama/01/2011,,3.006171464920044,-0.9692871570587158,1.3020683526992798
4,HA,KT841229,Yes,4,1701,H3N2,2015-01-06,IRD:Human,USA,Alabama,14-15,A/Alabama/01/2015,,1.4707262516021729,0.32199040055274963,3.304499626159668
6,HA,KC893090,No,4,1701,H3N2,2012-01-21,IRD:Human,USA,Alabama,11-12,A/Alabama/02/2012,,1.2277569770812988,-1.556512475013733,1.6524972915649414
7,HA,KT836052,Yes,4,1701,H3N2,2015-01-26,IRD:Human,USA,Alabama,14-15,A/Alabama/02/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
8,HA,KX412662,Yes,4,1737,H3N2,2016-01-27,IRD:Human,USA,Alabama,15-16,A/Alabama/02/2016,,-0.14827613532543182,-1.450170636177063,1.9025287628173828
10,HA,KC883039,No,4,1701,H3N2,2011-04-04,IRD:Human,USA,Alabama,10-11,A/Alabama/03/2011,,1.5184941291809082,-0.8560675382614136,1.0718708038330078
11,HA,KC892474,No,4,1701,H3N2,2012-02-16,IRD:Human,USA,Alabama,11-12,A/Alabama/03/2012,,1.2277569770812988,-1.556512475013733,1.6524972915649414
12,HA,KX412670,Yes,4,1737,H3N2,2016-01-27,IRD:Human,USA,Alabama,15-16,A/Alabama/03/2016,,-0.1187923401594162,-1.6319209337234497,2.1024842262268066
14,HA,KC892531,No,4,1701,H3N2,2011-12-07,IRD:Human,USA,Alabama,11-12,A/Alabama/04/2011,,1.801142930984497,-1.5986440181732178,1.5516096353530884
15,HA,KT835907,Yes,4,1701,H3N2,2015-01-22,IRD:Human,USA,Alabama,14-15,A/Alabama/04/2015,,1.4707262516021729,0.32199040055274963,3.304499626159668
16,HA,KX412678,Yes,4,1737,H3N2,2016-01-31,IRD:Human,USA,Alabama,15-16,A/Alabama/04/2016,,-0.1187923401594162,-1.6319209337234497,2.1024842262268066
18,HA,KC535440,No,4,1701,H3N2,2010-07-13,IRD:Human,USA,Alabama,-N/A-,A/Alabama/05/2010,,2.441802740097046,-0.9110162258148193,1.2569862604141235
19,HA,KC892558,No,4,1701,H3N2,2012-03-01,IRD:Human,USA,Alabama,11-12,A/Alabama/05/2012,,1.801142930984497,-1.5986440181732178,1.5516096353530884
20,HA,KT838345,Yes,4,1701,H3N2,2014-10-20,IRD:Human,USA,Alabama,14-15,A/Alabama/05/2014,,1.4707262516021729,0.32199040055274963,3.304499626159668
21,HA,KY089323,No,4,1701,H3N2,2015-03-11,IRD:Human,USA,Alabama,14-15,A/Alabama/05/2015,,-0.04633717238903046,-1.9602769613265991,2.2978975772857666
22,HA,KX412686,Yes,4,1737,H3N2,2016-01-31,IRD:Human,USA,Alabama,15-16,A/Alabama/05/2016,,-0.1187923401594162,-1.6319209337234497,2.1024842262268066
23,HA,KT838347,No,4,1701,H3N2,2014-10-21,IRD:Human,USA,Alabama,14-15,A/Alabama/06/2014,,1.4707262516021729,0.32199040055274963,3.304499626159668
24,HA,KY089829,No,4,1701,H3N2,2015-03-11,IRD:Human,USA,Alabama,14-15,A/Alabama/06/2015,,-0.04633717238903046,-1.9602769613265991,2.2978975772857666
25,HA,KY044102,Yes,4,1737,H3N2,2016-01-20,IRD:Human,USA,Alabama,15-16,A/Alabama/06/2016,,-0.1187923401594162,-1.6319209337234497,2.1024842262268066
26,HA,KX412838,Yes,4,1737,H3N2,2016-01-20,IRD:Human,USA,Alabama,15-16,A/Alabama/06/2016,,-0.1187923401594162,-1.6319209337234497,2.1024842262268066
28,HA,KC882678,No,4,1701,H3N2,2010-10-28,IRD:Human,USA,Alabama,10-11,A/Alabama/07/2010,,2.7718513011932373,-1.0856329202651978,1.2983548641204834
29,HA,KC893059,No,4,1701,H3N2,2012-03-20,IRD:Human,USA,Alabama,11-12,A/Alabama/07/2012,,1.4932312965393066,-1.3247610330581665,1.8737421035766602
30,HA,KF789571,No,4,1701,H3N2,2013-05-22,IRD:Human,USA,Alabama,12-13,A/Alabama/07/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
31,HA,KT837659,Yes,4,1701,H3N2,2014-10-23,IRD:Human,USA,Alabama,14-15,A/Alabama/07/2014,,0.022043421864509583,-2.085446357727051,2.359227180480957
32,HA,KT841992,Yes,4,1701,H3N2,2015-02-11,IRD:Human,USA,Alabama,14-15,A/Alabama/07/2015,,-0.1379740685224533,-1.954750657081604,2.0482325553894043
34,HA,KC882801,No,4,1701,H3N2,2010-11-03,IRD:Human,USA,Alabama,10-11,A/Alabama/08/2010,,2.803096055984497,-1.0603868961334229,1.415774941444397
35,HA,KC892181,No,4,1701,H3N2,2012-04-04,IRD:Human,USA,Alabama,11-12,A/Alabama/08/2012,,1.5571370124816895,-0.9376512765884399,1.7805976867675781
36,HA,KT839381,Yes,4,1701,H3N2,2014-11-05,IRD:Human,USA,Alabama,14-15,A/Alabama/08/2014,,1.429194688796997,0.419638067483902,3.247725009918213
37,HA,KT842463,Yes,4,1701,H3N2,2015-02-14,IRD:Human,USA,Alabama,14-15,A/Alabama/08/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
39,HA,KT838698,Yes,4,1701,H3N2,2014-11-05,IRD:Human,USA,Alabama,14-15,A/Alabama/09/2014,,1.429194688796997,0.419638067483902,3.247725009918213
40,HA,KT839293,Yes,4,1701,H3N2,2014-11-05,IRD:Human,USA,Alabama,14-15,A/Alabama/09/2014,,1.429194688796997,0.419638067483902,3.247725009918213
41,HA,KT842000,Yes,4,1701,H3N2,2015-02-14,IRD:Human,USA,Alabama,14-15,A/Alabama/09/2015,,-0.004959866404533386,-2.085887908935547,2.349026679992676
42,HA,KX415704,Yes,4,1737,H3N2,2016-02-11,IRD:Human,USA,Alabama,15-16,A/Alabama/09/2016,,0.9749566912651062,-0.602429986000061,2.166703224182129
44,HA,KC882574,No,4,1701,H3N2,2010-11-07,IRD:Human,USA,Alabama,10-11,A/Alabama/10/2010,,2.748500108718872,-0.9753224849700928,1.3338581323623657
45,HA,KT839990,Yes,4,1701,H3N2,2014-12-04,IRD:Human,USA,Alabama,14-15,A/Alabama/10/2014,,-0.054509446024894714,-1.9818658828735352,2.2042794227600098
46,HA,KX003906,Yes,4,1701,H3N2,2015-09-08,IRD:Human,USA,Alabama,-N/A-,A/Alabama/10/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
48,HA,KT839906,Yes,4,1701,H3N2,2014-12-08,IRD:Human,USA,Alabama,14-15,A/Alabama/11/2014,,0.022043421864509583,-2.085446357727051,2.359227180480957
50,HA,KT839852,Yes,4,1701,H3N2,2014-12-09,IRD:Human,USA,Alabama,14-15,A/Alabama/12/2014,,-0.08743612468242645,-1.6872535943984985,1.9732544422149658
52,HA,KC882465,No,4,1701,H3N2,2010-12-16,IRD:Human,USA,Alabama,10-11,A/Alabama/13/2010,,2.7572624683380127,-0.9372570514678955,1.3417936563491821
53,HA,CY209032,Yes,4,1737,H3N2,2016-10-19,IRD:Human,USA,Alabama,16-17,A/Alabama/13/2016,,0.5184633135795593,-0.5361167192459106,1.8052220344543457
54,HA,KY289350,Yes,4,1737,H3N2,2016-10-19,IRD:Human,USA,Alabama,16-17,A/Alabama/13/2016,,0.5184633135795593,-0.5361167192459106,1.8052220344543457
56,HA,CY213826,Yes,4,1737,H3N2,2016-10-19,IRD:Human,USA,Alabama,16-17,A/Alabama/14/2016,,0.49833911657333374,-0.39214691519737244,1.6900529861450195
57,HA,KY289394,Yes,4,1737,H3N2,2016-10-19,IRD:Human,USA,Alabama,16-17,A/Alabama/14/2016,,0.49833911657333374,-0.39214691519737244,1.6900529861450195
59,HA,CY210695,Yes,4,1737,H3N2,2016-11-16,IRD:Human,USA,Alabama,16-17,A/Alabama/15/2016,,-0.7485836148262024,-1.7698380947113037,3.115142822265625
61,HA,CY210687,Yes,4,1737,H3N2,2016-11-27,IRD:Human,USA,Alabama,16-17,A/Alabama/16/2016,,-0.8320692181587219,-1.5177371501922607,2.7060179710388184
63,HA,KF790114,No,4,1701,H3N2,2012-09-05,IRD:Human,USA,Alabama,-N/A-,A/Alabama/17/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
64,HA,KF789662,No,4,1701,H3N2,2012-09-05,IRD:Human,USA,Alabama,-N/A-,A/Alabama/17/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
65,HA,CY212786,Yes,4,1737,H3N2,2016-12-14,IRD:Human,USA,Alabama,16-17,A/Alabama/17/2016,,-0.8223379254341125,-1.6777427196502686,3.001600742340088
67,HA,KF790257,No,4,1701,H3N2,2012-10-29,IRD:Human,USA,Alabama,12-13,A/Alabama/18/2012,,1.254091501235962,-0.6112614870071411,2.494190216064453
68,HA,CY212794,Yes,4,1737,H3N2,2016-12-14,IRD:Human,USA,Alabama,16-17,A/Alabama/18/2016,,-0.8223379254341125,-1.6777427196502686,3.001600742340088
69,HA,CY228046,Yes,4,1737,H3N2,2016-12-14,IRD:Human,USA,Alabama,16-17,A/Alabama/18/2016,,-0.8223379254341125,-1.6777427196502686,3.001600742340088
70,HA,KF789597,No,4,1701,H3N2,2012-11-19,IRD:Human,USA,Alabama,12-13,A/Alabama/24/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
71,HA,CY134657,No,4,1701,H3N2,2012-12-11,IRD:Human,USA,Alabama,12-13,A/Alabama/3101/2012,,1.1315271854400635,-1.3388941287994385,2.299302101135254
72,HA,CY134658,No,4,1701,H3N2,2012-12-11,IRD:Human,USA,Alabama,12-13,A/Alabama/3102/2012,,2.8382198810577393,-0.7955620288848877,1.2458959817886353
73,HA,CY141176,No,4,1701,H3N2,2012-12-20,IRD:Human,USA,Alabama,12-13,A/Alabama/3161/2012,,1.0461256504058838,-1.51009202003479,2.346435546875
74,HA,CY141178,No,4,1701,H3N2,2013-01-16,IRD:Human,USA,Alabama,12-13,A/Alabama/3163/2013,,1.5106689929962158,-0.8661158084869385,2.4669580459594727
75,HA,CY141179,No,4,1701,H3N2,2012-12-14,IRD:Human,USA,Alabama,12-13,A/Alabama/3164/2012,,1.1315271854400635,-1.3388941287994385,2.299302101135254
76,HA,KF789912,No,4,1701,H3N2,2012-12-18,IRD:Human,USA,Alabama,12-13,A/Alabama/35/2012,,2.8382198810577393,-0.7955620288848877,1.2458959817886353
77,HA,CY187637,No,4,1701,H3N2,2014-03-24,IRD:Human,USA,Alabama,13-14,A/Alabama/3719/2014,,0.7778288722038269,-0.5989867448806763,2.1173763275146484
78,HA,CY193259,No,4,1701,H3N2,2014-10-21,IRD:Human,USA,Alabama,14-15,A/Alabama/4006/2014,,0.011706545948982239,-2.0230636596679688,2.3458642959594727
79,HA,CY193260,No,4,1701,H3N2,2014-10-23,IRD:Human,USA,Alabama,14-15,A/Alabama/4007/2014,,-0.005515381693840027,-1.9249954223632812,1.913032054901123
80,HA,CY193276,No,4,1701,H3N2,2014-11-12,IRD:Human,USA,Alabama,14-15,A/Alabama/4023/2014,,-0.054509446024894714,-1.9818658828735352,2.2042794227600098
81,HA,CY193277,No,4,1701,H3N2,2014-11-19,IRD:Human,USA,Alabama,14-15,A/Alabama/4024/2014,,-0.054509446024894714,-1.9818658828735352,2.2042794227600098
82,HA,CY193278,No,4,1701,H3N2,2014-11-24,IRD:Human,USA,Alabama,14-15,A/Alabama/4025/2014,,1.3418095111846924,-0.4468627870082855,2.772242546081543
83,HA,CY193279,No,4,1701,H3N2,2014-11-25,IRD:Human,USA,Alabama,14-15,A/Alabama/4026/2014,,-0.054509446024894714,-1.9818658828735352,2.2042794227600098
84,HA,CY193280,No,4,1701,H3N2,2014-12-01,IRD:Human,USA,Alabama,14-15,A/Alabama/4027/2014,,-0.005515381693840027,-1.9249954223632812,1.913032054901123
85,HA,CY193358,No,4,1701,H3N2,2014-12-22,IRD:Human,USA,Alabama,14-15,A/Alabama/4105/2014,,-0.04633717238903046,-1.9602769613265991,2.2978975772857666
86,HA,CY193359,No,4,1701,H3N2,2014-11-24,IRD:Human,USA,Alabama,14-15,A/Alabama/4106/2014,,-0.005515381693840027,-1.9249954223632812,1.913032054901123
87,HA,CY193360,No,4,1701,H3N2,2014-11-24,IRD:Human,USA,Alabama,14-15,A/Alabama/4107/2014,,-0.054509446024894714,-1.9818658828735352,2.2042794227600098
88,HA,CY193478,No,4,1701,H3N2,2014-12-17,IRD:Human,USA,Alabama,14-15,A/Alabama/4225/2014,,0.022043421864509583,-2.085446357727051,2.359227180480957
89,HA,CY193479,No,4,1701,H3N2,2014-12-16,IRD:Human,USA,Alabama,14-15,A/Alabama/4226/2014,,-0.030012056231498718,-2.0657103061676025,2.2814035415649414
90,HA,CY193480,No,4,1701,H3N2,2014-12-23,IRD:Human,USA,Alabama,14-15,A/Alabama/4227/2014,,0.000637248158454895,-2.17655086517334,2.2164554595947266
91,HA,CY193481,No,4,1701,H3N2,2015-01-05,IRD:Human,USA,Alabama,14-15,A/Alabama/4228/2015,,1.136300802230835,-0.9178577661514282,2.6995420455932617
92,HA,CY193640,No,4,1701,H3N2,2015-01-09,IRD:Human,USA,Alabama,14-15,A/Alabama/4387/2015,,-0.029745861887931824,-1.911516785621643,2.2423973083496094
93,HA,CY193754,No,4,1701,H3N2,2015-01-20,IRD:Human,USA,Alabama,14-15,A/Alabama/4501/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
94,HA,CY193861,No,4,1701,H3N2,2014-12-15,IRD:Human,USA,Alabama,14-15,A/Alabama/4608/2014,,-0.054509446024894714,-1.9818658828735352,2.2042794227600098
95,HA,CY193862,No,4,1701,H3N2,2015-01-22,IRD:Human,USA,Alabama,14-15,A/Alabama/4609/2015,,-0.0613735169172287,-1.9370347261428833,2.29655122756958
96,HA,CY193985,No,4,1701,H3N2,2015-02-05,IRD:Human,USA,Alabama,14-15,A/Alabama/4732/2015,,-0.066737100481987,-2.050844430923462,2.2445030212402344
97,HA,CY084299,No,4,1710,H3N2,2010-12-16,IRD:Human,USA,Alabama,10-11,A/Alabama/AF2692/2010,,2.7572624683380127,-0.9372570514678955,1.3417936563491821
98,HA,CY026035,Yes,4,1721,H3N2,2007-03-01,IRD:Human,USA,Alabama,06-07,A/Alabama/UR06-0482/2007,,2.051570177078247,-2.110697031021118,0.731898844242096
99,HA,CY025859,Yes,4,1721,H3N2,2007-03-07,IRD:Human,USA,Alabama,06-07,A/Alabama/UR06-0545/2007,,1.7365684509277344,-1.2927018404006958,0.6388235688209534
100,HA,CY093263,Yes,4,1731,H3N2,2009-02-01,IRD:Human,USA,Alabama,08-09,A/Alabama/WRAIR1242P/2009(H3N2),,1.9815630912780762,-2.048755407333374,1.0448023080825806
101,HA,KC882748,No,4,1701,H3N2,2011-01-14,IRD:Human,USA,Alaska,10-11,A/Alaska/01/2011,,1.5059998035430908,-1.2121689319610596,1.3087173700332642
102,HA,KF789947,No,4,1701,H3N2,2013-03-06,IRD:Human,USA,Alaska,12-13,A/Alaska/01/2013,,1.5106689929962158,-0.8661158084869385,2.4669580459594727
103,HA,KM064051,No,4,1701,H3N2,2014-01-19,IRD:Human,USA,Alaska,13-14,A/Alaska/01/2014,,0.9991511702537537,-1.281599521636963,2.371352195739746
105,HA,KC535500,No,4,1701,H3N2,2010-07-22,IRD:Human,USA,Alaska,-N/A-,A/Alaska/02/2010,,1.6469862461090088,-1.3875815868377686,1.3837248086929321
106,HA,KC892853,No,4,1701,H3N2,2012-03-06,IRD:Human,USA,Alaska,11-12,A/Alaska/02/2012,,2.8152830600738525,-1.0448557138442993,1.328514575958252
107,HA,KF790407,Yes,4,1701,H3N2,2013-02-20,IRD:Human,USA,Alaska,12-13,A/Alaska/02/2013,,2.8147408962249756,-0.7084438800811768,1.2082010507583618
108,HA,KF790212,Yes,4,1701,H3N2,2013-02-20,IRD:Human,USA,Alaska,12-13,A/Alaska/02/2013,,2.8147408962249756,-0.7084438800811768,1.2082010507583618
111,HA,KC535486,No,4,1701,H3N2,2010-08-06,IRD:Human,USA,Alaska,-N/A-,A/Alaska/03/2010,,1.5649559497833252,-1.2688825130462646,1.2933365106582642
112,HA,KC892629,No,4,1701,H3N2,2012-01-13,IRD:Human,USA,Alaska,11-12,A/Alaska/03/2012,,1.1134036779403687,-1.3388489484786987,1.368306040763855
113,HA,KF790118,No,4,1701,H3N2,2013-04-05,IRD:Human,USA,Alaska,12-13,A/Alaska/03/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
114,HA,KY090445,No,4,1701,H3N2,2015-02-13,IRD:Human,USA,Alaska,14-15,A/Alaska/03/2015,,0.08613605797290802,-1.8945294618606567,2.1533889770507812
116,HA,FJ532066,No,4,1701,H3N2,2008-08-09,IRD:Human,USA,Alaska,-N/A-,A/Alaska/04/2008,,1.837554693222046,-2.15147066116333,1.0522171258926392
117,HA,KC882754,No,4,1701,H3N2,2010-09-01,IRD:Human,USA,Alaska,-N/A-,A/Alaska/04/2010,,2.7260935306549072,-1.0375087261199951,1.2901829481124878
118,HA,KF790088,No,4,1701,H3N2,2012-05-14,IRD:Human,USA,Alaska,11-12,A/Alaska/04/2012,,1.2972261905670166,-1.4917995929718018,2.419651985168457
119,HA,KC892601,No,4,1701,H3N2,2012-05-14,IRD:Human,USA,Alaska,11-12,A/Alaska/04/2012,,1.066981554031372,-1.3795936107635498,2.194530487060547
120,HA,KF790391,No,4,1701,H3N2,2013-04-24,IRD:Human,USA,Alaska,12-13,A/Alaska/04/2013,,1.042079210281372,-1.6129623651504517,2.3227853775024414
121,HA,KY044323,No,4,1737,H3N2,2016-01-20,IRD:Human,USA,Alaska,15-16,A/Alaska/04/2016,,-0.12439422309398651,-1.8703824281692505,2.144908905029297
123,HA,EU516052,No,4,1701,H3N2,2007-03-20,IRD:Human,USA,Alaska,06-07,A/Alaska/05/2007,,1.3605033159255981,-1.1622817516326904,0.47919315099716187
124,HA,KC882787,No,4,1701,H3N2,2010-12-08,IRD:Human,USA,Alaska,10-11,A/Alaska/05/2010,,2.290391206741333,-0.4691968858242035,0.6432080864906311
125,HA,KC882453,No,4,1701,H3N2,2010-12-08,IRD:Human,USA,Alaska,10-11,A/Alaska/05/2010,,2.7155516147613525,-0.786367654800415,1.1440483331680298
126,HA,KF790378,No,4,1701,H3N2,2013-04-23,IRD:Human,USA,Alaska,12-13,A/Alaska/05/2013,,1.1892788410186768,-1.4000518321990967,2.30843448638916
